"antes","depois"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"particular","particular"
"publica","publica"
"publica","publica"
"publica","publica"
"publica","publica"
"publica","publica"
"publica","publica"
"publica","publica"
"publica","publica"
"publica","publica"
"publica","publica"
"publica","publica"
"publica","publica"
"publica","publica"
"publica","publica"
"particular","publica"
"particular","publica"
"particular","publica"
"publica","particular"
"publica","particular"
"publica","particular"
"publica","particular"
"publica","particular"
"publica","particular"
"publica","particular"
"publica","particular"
"publica","particular"
"publica","particular"
"publica","particular"
"publica","particular"
"publica","particular"
"publica","particular"
"publica","particular"
"publica","particular"
"publica","particular"
"publica","particular"
"publica","particular"
"publica","particular"
"publica","particular"
